"IP","Port","Gateway","Level","Zeit","Land","Online","Check","",""
"16.250.64.218","80","Ja","3","0.58 Sek.","","83% ","10:58","",""
"210.101.131.229","8080","Nein","","0 Sek.","","96% ","10:58","",""
"61.191.41.130","80","Ja","1","4.25 Sek.","","97% ","10:58","",""
"194.154.128.65","8080","Ja","3","0.3 Sek.","","97% ","10:58","",""
"134.213.208.187","4444","Nein","3","0.2 Sek.","","100% ","10:58","",""
"94.23.118.193","80","Nein","","0 Sek.","","100% ","10:58","",""
"62.37.237.34","8080","Nein","","0 Sek.","","100% ","10:58","",""
"62.37.237.100","8080","Nein","","0 Sek.","","100% ","10:58","",""
"62.37.237.32","8080","Nein","","0 Sek.","","100% ","10:58","",""
"62.37.237.18","8080","Nein","","0 Sek.","","100% ","10:58","",""
"62.37.237.35","8080","Nein","","0 Sek.","","100% ","10:58","",""
"62.37.237.15","8080","Nein","","0 Sek.","","100% ","10:58","",""
"62.37.237.66","8080","Nein","","0 Sek.","","100% ","10:58","",""
"62.37.237.25","80","Nein","","0 Sek.","","100% ","10:58","",""
"62.37.237.88","8080","Nein","","0 Sek.","","100% ","10:58","",""
"62.37.237.62","8080","Nein","","0 Sek.","","100% ","10:58","",""
"62.37.237.32","80","Nein","","0 Sek.","","100% ","10:58","",""
"62.37.237.90","8080","Nein","","0 Sek.","","100% ","10:58","",""
"62.37.237.5","8080","Nein","","0 Sek.","","100% ","10:58","",""
"95.67.120.190","8080","Nein","3","6.95 Sek.","","82% ","10:57","",""
"62.37.237.63","8080","Nein","","0 Sek.","","100% ","10:57","",""
"62.37.237.92","8080","Nein","","0 Sek.","","100% ","10:57","",""
"62.37.237.25","8080","Nein","","0 Sek.","","100% ","10:57","",""
"202.137.10.72","8080","Nein","3","1.52 Sek.","","88% ","10:57","",""
"103.10.228.63","8080","Nein","3","1.31 Sek.","","91% ","10:57","",""
"94.23.118.222","80","Nein","","0 Sek.","","99% ","10:57","",""
"120.132.71.212","80","Nein","3","1.25 Sek.","","99% ","10:57","",""
"62.37.237.98","8080","Nein","","0 Sek.","","100% ","10:57","",""
"185.46.151.29","8080","Ja","3","3.72 Sek.","","84% ","10:57","",""
"218.8.192.158","8998","Nein","1","1.94 Sek.","","88% ","10:57","",""
"177.36.204.45","3128","Nein","3","1.22 Sek.","","86% ","10:56","",""
"141.170.5.181","8080","Nein","3","0.65 Sek.","","86% ","10:56","",""
"12.129.82.194","8080","Ja","2","1.02 Sek.","","100% ","10:56","",""
"101.254.188.198","8080","Nein","3","1.03 Sek.","","81% ","10:56","",""
"62.37.237.36","8080","Nein","","0 Sek.","","99% ","10:56","",""
"217.17.46.162","3128","Nein","3","0.12 Sek.","","100% ","10:56","",""
"160.202.42.10","8080","Nein","3","2.55 Sek.","","82% ","10:56","",""
"36.67.64.9","8080","Nein","3","1.22 Sek.","","92% ","10:56","",""
"221.229.252.98","8080","Nein","3","1.75 Sek.","","89% ","10:56","",""
"109.207.49.158","8080","Nein","","0 Sek.","","82% ","10:56","",""
"46.37.193.74","3128","Nein","","0 Sek.","","87% ","10:55","",""
"191.181.200.152","8080","Ja","3","1.12 Sek.","","100% ","10:55","",""
"63.150.152.151","3128","Nein","","0 Sek.","","92% ","10:55","",""
"103.228.192.235","3128","Nein","1","2.65 Sek.","","91% ","10:55","",""
"94.23.118.200","80","Nein","","0 Sek.","","100% ","10:55","",""
"223.68.1.38","8000","Nein","3","1.22 Sek.","","99% ","10:55","",""
"123.206.34.119","53","Nein","3","1.37 Sek.","","99% ","10:55","",""
"134.213.221.181","4444","Nein","3","0.23 Sek.","","100% ","10:55","",""
"5.249.148.184","3128","Nein","1","0.19 Sek.","","88% ","10:55","",""
"5.189.169.210","8080","Nein","3","0.19 Sek.","","93% ","10:55","",""
"46.37.193.74","8080","Nein","","0 Sek.","","90% ","10:54","",""
"194.44.172.210","8080","Nein","3","0.39 Sek.","","82% ","10:54","",""
"58.67.159.50","80","Nein","3","1.19 Sek.","","87% ","10:54","",""
"62.37.237.87","8080","Nein","","0 Sek.","","100% ","10:54","",""
"217.172.120.18","8080","Nein","3","25.86 Sek.","","80% ","10:54","",""
"94.177.251.179","9000","Nein","3","0.11 Sek.","","100% ","10:54","",""
"37.57.147.41","8080","Nein","3","0.78 Sek.","","85% ","10:54","",""
"178.22.148.122","3129","Nein","3","0.09 Sek.","","96% ","10:54","",""
"109.254.6.40","8080","Nein","3","9.74 Sek.","","90% ","10:54","",""
"83.231.34.133","80","Nein","","0 Sek.","","100% ","10:53","",""
"124.81.213.118","8080","Nein","3","1.95 Sek.","","87% ","10:53","",""
"203.83.176.28","8080","Nein","3","12.11 Sek.","","81% ","10:53","",""
"94.20.21.38","3128","Nein","3","0.31 Sek.","","94% ","10:53","",""
"203.142.76.90","8080","Nein","3","1.27 Sek.","","80% ","10:53","",""
"131.255.82.103","8080","Nein","3","8.44 Sek.","","90% ","10:53","",""
"123.30.238.16","3128","Nein","3","1.23 Sek.","","97% ","10:53","",""
"185.46.151.26","8080","Nein","3","3.78 Sek.","","85% ","10:53","",""
"62.37.237.14","8080","Nein","","0 Sek.","","99% ","10:53","",""
"103.4.147.82","8080","Nein","3","3.59 Sek.","","82% ","10:53","",""
"125.209.67.74","8080","Nein","3","1.08 Sek.","","88% ","10:53","",""
"89.40.117.173","8080","Nein","3","0.05 Sek.","","90% ","10:52","",""
"63.150.152.151","8080","Nein","","0 Sek.","","93% ","10:52","",""
"191.7.192.166","8080","Nein","3","0.97 Sek.","","86% ","10:52","",""
"177.130.0.32","8080","Nein","3","0.94 Sek.","","88% ","10:52","",""
